name,description,rating,source,url,validated,source_count,verification_status,business_status,permanently_closed,google_name,google_address,google_rating,google_rating_count,price_level,open_now,current_hours,place_types,api_source_type,last_verified,google_place_id,verification_error
Scratch & Co.,Highly-rated fine dining restaurants - 4.6/5.0 stars (708 reviews),4.6/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJ3ejbFb_zNIgRbaGSDkFD6Jw,True,1,VERIFIED,OPERATIONAL,False,Scratch & Co.,"1720 Lowrie St, Pittsburgh, PA 15212, USA",4.6,708,2,False,"['Monday: Closed', 'Tuesday: 5:00\u2009–\u200910:00\u202fPM', 'Wednesday: 5:00\u2009–\u200910:00\u202fPM', 'Thursday: 5:00\u2009–\u200910:00\u202fPM', 'Friday: 5:00\u2009–\u200911:00\u202fPM', 'Saturday: 5:00\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20093:00\u202fPM']",[],Fine dining restaurants,2025-08-13T11:52:49.127949,ChIJ3ejbFb_zNIgRbaGSDkFD6Jw,
Hartwood Restaurant & Whispers Pub,Highly-rated farm-to-table restaurants - 4.6/5.0 stars (614 reviews),4.6/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJq8hc54GSNIgR26y5NGv_k9w,True,1,VERIFIED,OPERATIONAL,False,Hartwood Restaurant & Whispers Pub,"3400 Harts Run Rd, Glenshaw, PA 15116, USA",4.6,614,2,True,"['Monday: Closed', 'Tuesday: 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:30\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:30\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:30\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: Closed']",[],Farm-to-table restaurants,2025-08-13T11:52:50.345313,ChIJq8hc54GSNIgR26y5NGv_k9w,
Ditka's,Highly-rated fine dining restaurants - 4.5/5.0 stars (1805 reviews),4.5/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJG7z2hzdZNIgRrivGLrhEAtQ,True,1,VERIFIED,OPERATIONAL,False,Ditka's,"1 Robinson Plaza, Pittsburgh, PA 15205, USA",4.5,1805,3,True,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 3:00\u2009–\u20099:30\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20098:00\u202fPM']",[],Fine dining restaurants,2025-08-13T11:52:51.338135,ChIJG7z2hzdZNIgRrivGLrhEAtQ,
Ritual House,Highly-rated fine dining restaurants - 4.5/5.0 stars (601 reviews),4.5/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJuanz3VnxNIgRevJ0mtJ3D9c,True,1,VERIFIED,OPERATIONAL,False,Ritual House,"524 William Penn Pl, Pittsburgh, PA 15219, USA",4.5,601,2,True,"['Monday: 4:00\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20098:00\u202fPM']",[],Fine dining restaurants,2025-08-13T11:52:52.507263,ChIJuanz3VnxNIgRevJ0mtJ3D9c,
Del Frisco's Double Eagle Steakhouse,Highly-rated steakhouses - 4.5/5.0 stars (526 reviews),4.5/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJjVrbU-HxNIgRHH-_Qorimjc,True,1,VERIFIED,OPERATIONAL,False,Del Frisco's Double Eagle Steakhouse,"455 Fifth Ave, Pittsburgh, PA 15219, USA",4.5,526,4,True,"['Monday: 11:30\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 4:00\u2009–\u200910:00\u202fPM', 'Saturday: 4:00\u2009–\u200910:00\u202fPM', 'Sunday: 4:00\u2009–\u20099:00\u202fPM']",[],Steakhouses,2025-08-13T11:52:53.494452,ChIJjVrbU-HxNIgRHH-_Qorimjc,
Hofbräuhaus Pittsburgh,Highly-rated mid-to-upscale restaurants - 4.4/5.0 stars (2165 reviews),4.4/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJEfe6zHfxNIgRGR0MD0pIGHU,True,1,VERIFIED,OPERATIONAL,False,Hofbräuhaus Pittsburgh,"2705 S Water St, Pittsburgh, PA 15203, USA",4.4,2165,2,True,"['Monday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u200910:00\u202fPM']",[],Mid-to-upscale restaurants,2025-08-13T11:52:54.624661,ChIJEfe6zHfxNIgRGR0MD0pIGHU,
J W Halls Steak & Seafood Inn,Highly-rated steakhouses - 4.4/5.0 stars (1069 reviews),4.4/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJjdoEWstnNIgRwtioMS6PJNo,True,1,VERIFIED,OPERATIONAL,False,J W Halls Steak & Seafood Inn,"2284 Brodhead Rd, Aliquippa, PA 15001, USA",4.4,1069,2,True,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20098:00\u202fPM']",[],Steakhouses,2025-08-13T11:52:55.875581,ChIJjdoEWstnNIgRwtioMS6PJNo,
honeygrow,Highly-rated farm-to-table restaurants - 4.4/5.0 stars (808 reviews),4.4/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJk00YdnTyNIgRMe73uy_oHww,True,1,VERIFIED,OPERATIONAL,False,honeygrow,"105 S Highland Ave, Pittsburgh, PA 15206, USA",4.4,808,2,True,"['Monday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:30\u202fAM\u2009–\u200910:00\u202fPM']",[],Farm-to-table restaurants,2025-08-13T11:52:56.907748,ChIJk00YdnTyNIgRMe73uy_oHww,
Grande Italian Restaurant,Highly-rated italian restaurants - 4.4/5.0 stars (379 reviews),4.4/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJ79mlwa9VNIgRBta6ZKo0XBU,True,1,VERIFIED,OPERATIONAL,False,Grande Italian Restaurant,"4205 Washington Rd, McMurray, PA 15317, USA",4.4,379,1,True,"['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 12:00\u2009–\u20098:00\u202fPM']",[],Italian restaurants,2025-08-13T11:52:57.959861,ChIJ79mlwa9VNIgRBta6ZKo0XBU,
The Church Brew Works,Highly-rated mid-to-upscale restaurants - 4.3/5.0 stars (5457 reviews),4.3/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJKT2mUrXzNIgRP_zITVG6-1s,True,1,VERIFIED,OPERATIONAL,False,The Church Brew Works,"3525 Liberty Ave, Pittsburgh, PA 15201, USA",4.3,5457,2,False,"['Monday: 4:00\u2009–\u200910:15\u202fPM', 'Tuesday: 4:00\u2009–\u200910:15\u202fPM', 'Wednesday: 4:00\u2009–\u200910:15\u202fPM', 'Thursday: 4:00\u2009–\u200910:15\u202fPM', 'Friday: 11:45\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:45\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:45\u202fAM\u2009–\u20099:00\u202fPM']",[],Mid-to-upscale restaurants,2025-08-13T11:52:59.165343,ChIJKT2mUrXzNIgRP_zITVG6-1s,
The Cheesecake Factory,Highly-rated mid-to-upscale restaurants - 4.3/5.0 stars (3908 reviews),4.3/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJE8r9NXbxNIgR2_MNy57jGM4,True,1,VERIFIED,OPERATIONAL,False,The Cheesecake Factory,"415 S 27th St, Pittsburgh, PA 15203, USA",4.3,3908,2,True,"['Monday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']",[],Mid-to-upscale restaurants,2025-08-13T11:53:00.237269,ChIJE8r9NXbxNIgR2_MNy57jGM4,
